Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_green->red	lnL
120	0.010537	0.011292	0.003038	0.020001	0.769711	-3490.700
124	0.009913	0.011379	0.000911	0.020001	0.769711	-3518.108
128	0.009837	0.013144	0.001550	0.020001	1.052130	-3508.977
132	0.008326	0.010822	0.002923	0.018045	1.052130	-3524.216
136	0.005769	0.008892	0.002868	0.013675	0.804919	-3533.644
140	0.005942	0.008265	0.002117	0.013675	0.804919	-3549.169
144	0.005155	0.007878	0.001395	0.012996	0.804919	-3534.772
148	0.006010	0.009525	0.002436	0.012996	0.633141	-3513.702
152	0.006608	0.009280	0.002155	0.012996	0.729358	-3511.918
156	0.006294	0.009124	0.002010	0.012996	0.727320	-3509.212
160	0.007838	0.009621	0.001199	0.014977	0.845472	-3519.401
164	0.009699	0.010938	0.011615	0.016271	0.659990	-3528.311
168	0.008028	0.011677	0.001658	0.014885	0.659990	-3530.843
172	0.011515	0.012842	0.001690	0.019029	0.732682	-3508.547
176	0.011071	0.012417	0.000407	0.019029	0.732682	-3506.900
180	0.011775	0.018821	0.001784	0.021574	0.675020	-3521.436
184	0.009268	0.016027	0.002650	0.018429	0.967391	-3526.938
188	0.009430	0.017292	0.000572	0.018429	0.967391	-3521.236
192	0.009178	0.016456	0.000813	0.018429	0.820846	-3527.566
196	0.010947	0.015293	0.001320	0.022022	0.489497	-3514.066
200	0.010103	0.015646	0.002597	0.021089	0.620329	-3502.492
204	0.009147	0.014107	0.001788	0.017748	0.820384	-3505.257
208	0.010438	0.014570	0.001075	0.019759	0.826827	-3500.049
212	0.011360	0.014183	0.000711	0.019559	0.826827	-3491.279
216	0.013869	0.018532	0.000861	0.024458	0.826827	-3481.247
220	0.009681	0.013194	0.002098	0.018472	0.929221	-3504.362
224	0.009657	0.008109	0.005599	0.015557	0.876486	-3495.757
228	0.011471	0.012295	0.002526	0.017888	0.876486	-3529.595
232	0.015723	0.015635	0.000866	0.023040	0.876486	-3519.255
236	0.012992	0.011199	0.003063	0.018737	1.183779	-3517.171
240	0.013122	0.013118	0.001359	0.018737	0.836713	-3515.603
244	0.014437	0.014011	0.001010	0.020244	0.583737	-3501.186
248	0.017414	0.017541	0.001428	0.023430	0.950275	-3493.544
252	0.012953	0.014769	0.002001	0.019567	0.635743	-3515.763
256	0.016047	0.015136	0.001107	0.023517	0.924812	-3514.063
260	0.013887	0.013472	0.002260	0.020406	0.924812	-3518.984
264	0.013676	0.011690	0.001486	0.020833	0.686365	-3519.147
268	0.013496	0.011583	0.001806	0.017712	1.020931	-3524.784
272	0.015940	0.015582	0.004743	0.019385	0.597749	-3528.383
276	0.018979	0.014648	0.002663	0.020393	1.002514	-3531.812
280	0.018269	0.014411	0.001620	0.020623	0.855357	-3521.444
284	0.018805	0.019123	0.002629	0.024083	0.646832	-3527.987
288	0.019792	0.016872	0.001328	0.024477	0.618713	-3529.217
292	0.015819	0.011958	0.001442	0.018398	0.844641	-3530.516
296	0.018090	0.013694	0.001765	0.021792	1.160324	-3538.817
300	0.019283	0.014292	0.001751	0.023948	1.400757	-3557.674
304	0.019111	0.018370	0.011517	0.025728	1.039936	-3524.310
308	0.018480	0.014653	0.002552	0.026274	0.603272	-3517.636
312	0.014580	0.012516	0.001334	0.022697	0.800161	-3517.088
316	0.013649	0.011523	0.001277	0.023088	0.550495	-3528.877
320	0.014954	0.013216	0.001961	0.023088	0.660800	-3521.421
324	0.013107	0.012114	0.000660	0.023088	0.660800	-3525.045
328	0.012524	0.014517	0.006226	0.022449	0.861547	-3555.932
332	0.012656	0.013006	0.001037	0.022449	0.712077	-3520.063
336	0.012632	0.010477	0.002389	0.023252	0.766353	-3525.251
340	0.013288	0.012539	0.001054	0.023684	0.981625	-3527.015
344	0.010360	0.010335	0.001181	0.017681	0.850784	-3525.570
348	0.010890	0.011690	0.000760	0.020399	0.563076	-3530.421
352	0.011973	0.014931	0.001180	0.023697	1.091078	-3543.822
356	0.012117	0.015889	0.001661	0.023697	1.036933	-3497.641
360	0.012616	0.014050	0.001163	0.023697	1.121147	-3502.343
364	0.012190	0.012201	0.004110	0.023740	0.955240	-3515.472
368	0.011998	0.013264	0.001982	0.024894	0.680019	-3502.082
372	0.012334	0.017354	0.003440	0.023593	0.675619	-3500.572
376	0.011126	0.015033	0.000423	0.021072	0.736003	-3511.021
380	0.010628	0.010611	0.001011	0.021072	0.991669	-3530.237
384	0.008753	0.008849	0.000817	0.016284	0.991669	-3530.492
388	0.010759	0.009713	0.001562	0.021695	0.734169	-3517.944
392	0.011593	0.011670	0.000663	0.021695	0.873011	-3532.953
396	0.011627	0.012005	0.002356	0.022977	0.638088	-3524.835
400	0.014258	0.013240	0.003890	0.027918	1.007149	-3512.959
404	0.015219	0.015649	0.001000	0.027531	1.007149	-3528.480
408	0.016003	0.010894	0.001524	0.025621	1.007149	-3530.542
412	0.017303	0.018196	0.001204	0.030516	0.671059	-3529.806
416	0.017004	0.014742	0.001548	0.032280	0.671059	-3522.571
420	0.013524	0.011501	0.002943	0.026689	1.155860	-3502.812
424	0.014718	0.012514	0.001257	0.026847	0.910539	-3519.347
428	0.017612	0.013061	0.002082	0.032555	0.594788	-3513.665
432	0.014982	0.012699	0.000973	0.028541	0.761864	-3519.130
436	0.011649	0.012399	0.004114	0.024041	0.525720	-3513.911
440	0.008628	0.011238	0.015912	0.019569	0.725288	-3533.744
444	0.010568	0.015364	0.001086	0.022248	0.678043	-3521.198
448	0.009821	0.013283	0.000808	0.020782	0.531766	-3537.351
452	0.010959	0.010703	0.004328	0.019513	0.531766	-3543.878
456	0.009384	0.010644	0.001917	0.016657	0.569804	-3549.233
460	0.010542	0.011414	0.002925	0.019046	0.569804	-3542.844
464	0.012006	0.012664	0.002613	0.019046	0.532224	-3531.144
468	0.009855	0.012782	0.001331	0.018285	0.787038	-3516.449
472	0.012182	0.013531	0.001116	0.018285	0.549438	-3552.091
476	0.010124	0.010094	0.000688	0.017465	0.762009	-3540.218
480	0.011034	0.011848	0.000727	0.017807	0.667501	-3527.244
484	0.009618	0.011504	0.002084	0.016240	0.667501	-3520.766
488	0.009508	0.011232	0.002325	0.017278	0.521946	-3511.847
492	0.008285	0.010530	0.001701	0.016524	0.635702	-3528.891
496	0.008638	0.011668	0.002215	0.016524	0.839334	-3518.344
500	0.007550	0.012529	0.000557	0.014942	0.651869	-3535.572
504	0.008688	0.013143	0.001149	0.017814	0.863119	-3513.982
508	0.008072	0.013526	0.001255	0.015171	0.863119	-3517.790
512	0.008994	0.012033	0.001455	0.015171	0.855979	-3514.657
516	0.009028	0.013568	0.002034	0.016023	0.937974	-3515.862
520	0.008907	0.013022	0.001084	0.016023	0.722490	-3503.547
524	0.009532	0.010726	0.000950	0.014996	0.722490	-3498.033
528	0.008187	0.010701	0.000468	0.013678	1.074839	-3490.290
532	0.008767	0.011819	0.000934	0.014336	0.816830	-3512.793
536	0.007851	0.011375	0.001295	0.014336	0.525870	-3514.779
540	0.009432	0.011339	0.002533	0.015819	0.522830	-3511.453
544	0.010060	0.013441	0.001707	0.018235	0.626684	-3475.419
548	0.009781	0.020371	0.000909	0.019410	0.897581	-3499.259
552	0.010417	0.020653	0.003727	0.019766	1.007331	-3506.458
556	0.015483	0.023240	0.000602	0.023820	0.672385	-3500.774
560	0.018973	0.023127	0.001369	0.025652	0.651450	-3510.119
564	0.015520	0.020541	0.001823	0.023626	0.651450	-3509.663
568	0.013447	0.015605	0.001538	0.019541	0.410304	-3508.237
572	0.012861	0.016886	0.000622	0.019541	0.427286	-3500.958
576	0.017277	0.021487	0.003372	0.023856	0.638494	-3502.872
580	0.018177	0.022461	0.001269	0.023856	0.911186	-3513.101
584	0.014790	0.023132	0.001153	0.021201	0.831004	-3490.252
588	0.014512	0.018895	0.000596	0.019688	0.762193	-3506.003
592	0.016023	0.022003	0.000954	0.019688	1.071766	-3506.183
596	0.017130	0.026359	0.001890	0.021194	0.805723	-3511.062
600	0.019223	0.025718	0.000429	0.021194	0.805723	-3498.132
604	0.016613	0.031129	0.001150	0.021194	0.611832	-3516.593
608	0.018131	0.030429	0.000884	0.021938	0.862101	-3494.075
612	0.019350	0.030703	0.003847	0.021938	0.862101	-3498.943
616	0.020169	0.028589	0.001420	0.024725	0.610341	-3503.318
620	0.016471	0.021239	0.000675	0.021581	0.829062	-3486.019
624	0.016309	0.022476	0.000503	0.021053	0.829062	-3511.411
628	0.014124	0.017763	0.001962	0.018633	1.150025	-3528.354
632	0.011860	0.015120	0.000549	0.015753	0.879164	-3521.988
636	0.010182	0.016423	0.001643	0.013834	0.554770	-3518.176
640	0.012626	0.015835	0.001419	0.015963	0.352775	-3513.654
644	0.013013	0.016177	0.000557	0.017386	0.803935	-3500.435
648	0.016845	0.023896	0.000538	0.022260	0.588634	-3515.795
652	0.016481	0.023535	0.000633	0.023997	0.694405	-3502.766
656	0.015806	0.022943	0.001324	0.020588	0.665512	-3512.101
660	0.011636	0.015262	0.001190	0.013969	0.665512	-3498.789
664	0.010126	0.016000	0.001117	0.013969	0.499156	-3486.572
668	0.010891	0.015183	0.001201	0.013969	0.776000	-3475.703
672	0.011759	0.015882	0.000565	0.015879	0.517038	-3478.683
676	0.011270	0.020115	0.001304	0.013853	0.517038	-3506.466
680	0.011854	0.025752	0.001380	0.015178	0.388658	-3499.817
684	0.015350	0.024609	0.001269	0.016873	0.636332	-3507.961
688	0.016369	0.025414	0.002280	0.016873	0.928348	-3479.127
692	0.015581	0.024087	0.000760	0.017228	0.928348	-3508.196
696	0.012331	0.017975	0.002068	0.013135	0.550694	-3486.885
700	0.012289	0.016342	0.001931	0.013135	0.863112	-3493.743
704	0.015528	0.017356	0.002591	0.013886	0.863112	-3514.791
708	0.014635	0.017694	0.001241	0.015249	0.863112	-3489.943
712	0.012733	0.012305	0.002603	0.011920	0.576216	-3516.967
716	0.012528	0.012864	0.003204	0.011920	0.853908	-3487.875
720	0.011817	0.014722	0.000762	0.011920	0.735162	-3494.195
724	0.013137	0.014056	0.000804	0.011920	0.735162	-3486.512
728	0.013360	0.012347	0.002746	0.011920	0.735162	-3500.537
732	0.011773	0.011310	0.003299	0.011433	0.584075	-3504.462
736	0.014237	0.014754	0.007815	0.013363	0.617838	-3485.244
740	0.015570	0.016522	0.001841	0.013363	0.617838	-3487.186
744	0.012057	0.011654	0.005782	0.009750	0.617838	-3503.315
748	0.011430	0.012924	0.001237	0.009750	0.578615	-3501.998
752	0.009570	0.010985	0.002017	0.008109	0.578615	-3501.128
756	0.009133	0.010905	0.001358	0.008759	0.804967	-3510.999
760	0.010109	0.012793	0.000752	0.008759	0.571655	-3531.739
764	0.013028	0.013522	0.005994	0.010316	0.951643	-3509.679
768	0.013524	0.011393	0.000871	0.010316	0.951643	-3511.184
772	0.018321	0.011358	0.001673	0.012161	1.103875	-3519.170
776	0.012929	0.013544	0.002452	0.009630	0.726867	-3503.698
780	0.013201	0.013597	0.001870	0.009648	0.657590	-3518.977
784	0.011034	0.010242	0.000351	0.008176	0.618306	-3499.685
788	0.010387	0.008939	0.001128	0.006883	0.618306	-3503.714
792	0.010341	0.008150	0.002319	0.006654	0.846975	-3534.967
796	0.010958	0.010516	0.003937	0.007925	0.641628	-3508.017
800	0.010423	0.010292	0.000788	0.006729	0.903847	-3522.813
804	0.008934	0.008396	0.000915	0.006696	0.857626	-3503.226
808	0.009772	0.012837	0.002064	0.007060	0.961538	-3508.830
812	0.009008	0.010516	0.001599	0.006863	0.656113	-3500.306
816	0.010693	0.010527	0.000977	0.006863	0.897054	-3519.611
820	0.010384	0.010593	0.000825	0.006615	0.403291	-3552.553
824	0.011947	0.014310	0.000879	0.008446	0.488418	-3511.861
828	0.010017	0.013628	0.001004	0.006905	0.744448	-3529.060
832	0.011552	0.016555	0.002837	0.007588	0.923815	-3529.236
836	0.011201	0.016140	0.002285	0.007879	0.681114	-3535.399
840	0.010657	0.014830	0.005862	0.007879	0.539364	-3527.761
844	0.009754	0.014990	0.003953	0.007879	0.539364	-3527.081
848	0.007272	0.011751	0.001089	0.006480	0.539364	-3528.123
852	0.005900	0.010283	0.000602	0.005249	0.692471	-3538.957
856	0.006364	0.013726	0.000851	0.005249	0.692471	-3532.549
860	0.005939	0.011711	0.001230	0.005249	0.588548	-3537.236
864	0.006644	0.014562	0.000506	0.005871	0.419803	-3542.016
868	0.008021	0.017111	0.001660	0.005871	0.745084	-3528.246
872	0.007107	0.015055	0.000908	0.005582	0.710978	-3529.883
876	0.009068	0.013083	0.000894	0.006514	0.710978	-3525.318
880	0.009936	0.018996	0.001934	0.007154	0.710978	-3509.923
884	0.005769	0.013194	0.000789	0.005069	0.430801	-3525.661
888	0.006516	0.010724	0.001059	0.005484	0.525474	-3515.270
892	0.008478	0.010845	0.000720	0.006249	0.529695	-3528.112
896	0.009527	0.010377	0.000612	0.006249	0.677555	-3513.176
900	0.007998	0.009146	0.002317	0.006249	0.817637	-3536.272
904	0.009953	0.010669	0.000452	0.007766	0.730216	-3519.352
908	0.010939	0.012760	0.000886	0.007766	0.445466	-3514.802
912	0.007772	0.013082	0.001629	0.006414	0.445466	-3505.982
916	0.008213	0.012417	0.000735	0.006902	0.391802	-3492.671
920	0.008098	0.012281	0.001479	0.007144	0.432847	-3489.227
924	0.011111	0.018019	0.002418	0.008963	0.402802	-3493.568
928	0.012802	0.021076	0.000744	0.010688	0.456628	-3509.740
932	0.015294	0.026239	0.003806	0.013933	0.644942	-3514.273
936	0.012542	0.019821	0.001509	0.011184	0.644942	-3519.160
940	0.012214	0.018375	0.001020	0.011184	0.645637	-3517.524
944	0.014055	0.020862	0.000933	0.011184	0.645637	-3516.036
948	0.014119	0.019947	0.001151	0.010575	0.645637	-3513.038
952	0.014594	0.018281	0.000715	0.011895	0.536126	-3515.478
956	0.013288	0.016159	0.000895	0.011004	0.658341	-3531.165
960	0.012331	0.014908	0.001566	0.010223	0.481671	-3518.293
964	0.015572	0.018860	0.000871	0.012864	0.480234	-3522.719
968	0.017329	0.026451	0.001117	0.016165	0.669064	-3500.493
972	0.015652	0.023258	0.001024	0.015170	0.445811	-3505.313
976	0.011382	0.015685	0.000676	0.011382	0.777298	-3521.613
980	0.013476	0.015168	0.003158	0.011382	0.584664	-3546.824
984	0.013607	0.018842	0.003646	0.011259	0.584664	-3523.908
988	0.013615	0.015000	0.001112	0.011259	0.584664	-3512.320
992	0.013487	0.016422	0.000539	0.011259	0.467751	-3503.063
996	0.013486	0.018229	0.000931	0.011259	0.867621	-3508.495
1000	0.012243	0.019152	0.002365	0.010043	0.701060	-3530.549
1004	0.013676	0.022466	0.003598	0.011034	0.558998	-3512.108
1008	0.013029	0.023322	0.003229	0.009677	0.558998	-3529.246
1012	0.011393	0.023140	0.001442	0.008672	0.586211	-3528.119
1016	0.009136	0.016777	0.001341	0.006895	0.621502	-3511.885
1020	0.009106	0.020246	0.001552	0.007247	0.648943	-3504.046
1024	0.008648	0.018751	0.000906	0.006288	0.648943	-3529.206
1028	0.010509	0.019088	0.001757	0.007427	0.652038	-3533.355
1032	0.010063	0.019567	0.000830	0.006496	0.652038	-3518.914
1036	0.008378	0.020910	0.000700	0.005439	0.405127	-3520.821
1040	0.009485	0.022478	0.001145	0.005640	0.526925	-3550.435
1044	0.009477	0.024375	0.000705	0.006433	0.544093	-3520.316
1048	0.010214	0.021790	0.001890	0.006433	0.695716	-3541.698
1052	0.010366	0.028405	0.001193	0.006433	0.534287	-3532.674
1056	0.009582	0.021824	0.001280	0.005414	0.663831	-3517.484
1060	0.011919	0.026334	0.000996	0.006755	0.663831	-3518.403
1064	0.013053	0.022892	0.001302	0.006755	0.617343	-3538.130
1068	0.015211	0.021295	0.001019	0.007074	0.617343	-3527.165
1072	0.014223	0.019943	0.000972	0.007074	0.893861	-3519.447
1076	0.013480	0.023958	0.000973	0.007074	0.872900	-3513.957
1080	0.014980	0.020889	0.000559	0.006551	0.972719	-3558.535
1084	0.013273	0.019273	0.000878	0.006551	0.681151	-3547.148
1088	0.013448	0.019599	0.002274	0.006196	0.681151	-3536.488
1092	0.010164	0.018969	0.000920	0.005313	0.773285	-3535.450
1096	0.010640	0.018121	0.001031	0.005313	0.620304	-3520.005
1100	0.011441	0.019260	0.000927	0.005404	0.906513	-3519.286
1104	0.013246	0.027016	0.001108	0.006264	0.482082	-3514.306
1108	0.013495	0.026480	0.001069	0.006264	0.658625	-3513.808
1112	0.012126	0.030005	0.001778	0.005547	0.694793	-3523.411
1116	0.012728	0.024633	0.001620	0.005575	0.694793	-3511.842
1120	0.010142	0.018212	0.001226	0.004431	0.694793	-3531.007
1124	0.011480	0.022528	0.000758	0.004895	0.769611	-3516.373
1128	0.013538	0.020377	0.000747	0.004895	0.521842	-3509.831
1132	0.016178	0.019456	0.000960	0.005845	0.650745	-3482.419
1136	0.011170	0.019845	0.000827	0.004464	0.650745	-3498.538
1140	0.009989	0.013045	0.000700	0.003981	1.025102	-3522.517
1144	0.010834	0.013343	0.001692	0.003981	1.025102	-3511.510
1148	0.007687	0.010215	0.001057	0.002847	0.721521	-3522.288
1152	0.007948	0.012762	0.000709	0.003226	0.721521	-3506.806
1156	0.007946	0.012342	0.000567	0.003226	0.619994	-3528.785
1160	0.008969	0.012294	0.001466	0.003396	0.839584	-3518.838
1164	0.009369	0.014004	0.000930	0.003680	0.549222	-3505.043
1168	0.008353	0.014483	0.001036	0.003680	0.591925	-3512.535
1172	0.011073	0.017747	0.001148	0.004697	0.679167	-3498.564
1176	0.011382	0.014823	0.001706	0.004697	0.679167	-3492.404
1180	0.011178	0.022161	0.001741	0.005180	0.679167	-3513.871
1184	0.009651	0.016973	0.001397	0.004306	0.479069	-3503.484
1188	0.010475	0.017738	0.001319	0.004306	0.479069	-3508.716
1192	0.011586	0.016570	0.001177	0.005013	0.540601	-3501.885
1196	0.011801	0.019665	0.002161	0.004860	0.581739	-3532.754
1200	0.012456	0.018129	0.001753	0.004860	0.436413	-3514.809
1204	0.013023	0.017718	0.001380	0.004860	0.444841	-3501.357
1208	0.012625	0.016698	0.000615	0.004136	0.448045	-3505.269
1212	0.013947	0.015360	0.001321	0.004136	0.692665	-3513.551
1216	0.013203	0.011730	0.000693	0.003717	0.679468	-3532.843
1220	0.011958	0.015829	0.001555	0.003717	0.578954	-3535.245
1224	0.009574	0.014242	0.000768	0.003171	0.467222	-3506.401
1228	0.009958	0.013666	0.000454	0.003171	0.609270	-3510.379
1232	0.008789	0.012478	0.000622	0.002586	0.609270	-3491.589
1236	0.010862	0.011768	0.001169	0.002931	0.812348	-3507.545
1240	0.011908	0.011433	0.001241	0.003276	0.470403	-3503.019
1244	0.009232	0.009628	0.000849	0.002402	0.496705	-3506.268
1248	0.009742	0.009572	0.001780	0.002390	0.644954	-3507.797
1252	0.009815	0.009229	0.001140	0.002390	0.793503	-3505.789
1256	0.008436	0.010025	0.000619	0.002390	0.692331	-3502.788
1260	0.008124	0.009033	0.000945	0.002150	0.704025	-3515.736
1264	0.007652	0.007917	0.000794	0.002114	0.535711	-3511.774
1268	0.007659	0.009549	0.000700	0.002114	0.774998	-3501.119
1272	0.013304	0.013261	0.001320	0.003350	0.528194	-3532.183
1276	0.015837	0.012958	0.001065	0.003869	0.550710	-3500.946
1280	0.010900	0.010588	0.000777	0.002700	0.473399	-3497.550
1284	0.012497	0.012314	0.001039	0.002975	0.473399	-3505.658
1288	0.013943	0.015588	0.000953	0.002975	0.722145	-3507.074
1292	0.012607	0.015785	0.001190	0.002975	0.500249	-3498.518
1296	0.014730	0.017410	0.001114	0.002975	0.887473	-3504.576
1300	0.016574	0.020265	0.000919	0.003512	0.717561	-3490.654
1304	0.019176	0.020817	0.001737	0.003601	0.529864	-3486.535
1308	0.016616	0.018930	0.001378	0.002950	0.472471	-3500.664
1312	0.014556	0.016359	0.001152	0.002950	0.472471	-3496.947
1316	0.018105	0.028372	0.001381	0.003665	0.623422	-3499.479
1320	0.024571	0.037135	0.001941	0.004463	0.623422	-3522.285
1324	0.029149	0.041689	0.001322	0.005058	0.719850	-3513.419
1328	0.022762	0.038174	0.002324	0.004287	0.366343	-3519.564
1332	0.017932	0.026745	0.000843	0.003155	0.648777	-3533.686
1336	0.017911	0.021576	0.000863	0.003155	0.517406	-3510.518
1340	0.017096	0.033528	0.001101	0.003155	0.667874	-3518.501
1344	0.017949	0.028957	0.001057	0.002941	0.456577	-3515.339
1348	0.015597	0.022336	0.001252	0.002484	0.571461	-3504.771
1352	0.015094	0.019283	0.000845	0.002225	0.390717	-3501.500
1356	0.017786	0.021272	0.001003	0.002737	0.385412	-3498.706
1360	0.012541	0.022311	0.000807	0.002223	0.604011	-3517.186
1364	0.014656	0.019702	0.001559	0.002223	0.390433	-3490.481
1368	0.013585	0.015728	0.001425	0.002223	0.380786	-3514.750
1372	0.014377	0.016954	0.001684	0.002263	0.611266	-3542.543
1376	0.015339	0.021512	0.001449	0.002695	0.322259	-3501.456
1380	0.017049	0.026170	0.001271	0.002842	0.642595	-3498.060
1384	0.014754	0.023917	0.002731	0.002842	0.504953	-3497.692
1388	0.022333	0.033169	0.002423	0.003534	0.504953	-3492.614
1392	0.022155	0.030900	0.001875	0.003534	0.504953	-3503.637
1396	0.025095	0.037290	0.002877	0.004068	0.625085	-3511.297
1400	0.028575	0.034069	0.001529	0.004350	0.561468	-3513.555
1404	0.028316	0.043568	0.002468	0.005128	0.441011	-3534.362
1408	0.037294	0.038357	0.003011	0.005930	0.470474	-3529.949
1412	0.037252	0.041781	0.002495	0.005930	0.470474	-3512.939
1416	0.037817	0.038312	0.004125	0.006320	0.426641	-3527.148
1420	0.032297	0.046812	0.006552	0.006320	0.397966	-3498.121
1424	0.032141	0.041906	0.003983	0.005052	0.583312	-3515.316
1428	0.031785	0.042133	0.002618	0.005052	0.583312	-3502.372
1432	0.029144	0.040242	0.001687	0.004704	0.701097	-3510.532
1436	0.026470	0.033951	0.002749	0.004140	0.630790	-3521.781
1440	0.024517	0.032324	0.002592	0.004140	0.566118	-3530.157
1444	0.022161	0.033512	0.002728	0.003632	0.399462	-3515.597
1448	0.021775	0.029535	0.002542	0.003431	0.598059	-3525.402
1452	0.024329	0.036744	0.002194	0.004043	0.537328	-3519.039
1456	0.025026	0.035174	0.001610	0.004043	0.833672	-3515.091
1460	0.026017	0.032858	0.003342	0.004724	0.477887	-3506.187
1464	0.025143	0.025444	0.003638	0.004471	0.411079	-3496.824
1468	0.028895	0.029533	0.001954	0.004879	0.421327	-3502.113
1472	0.029003	0.030043	0.001943	0.005026	0.549710	-3514.422
1476	0.033295	0.036003	0.001721	0.006289	0.378305	-3516.828
1480	0.030481	0.030076	0.001587	0.005441	0.686096	-3515.264
1484	0.031111	0.030509	0.002259	0.005559	0.609282	-3524.424
1488	0.024487	0.035319	0.002292	0.005347	0.580596	-3526.560
1492	0.025542	0.024205	0.002840	0.005347	0.251661	-3523.107
1496	0.022081	0.022558	0.002303	0.004677	0.419966	-3507.678
1500	0.027235	0.031590	0.002345	0.005935	0.513737	-3516.916
1504	0.026384	0.027856	0.001916	0.005640	0.464525	-3481.473
1508	0.021291	0.020626	0.001781	0.004571	0.340421	-3515.320
1512	0.017281	0.019235	0.002053	0.003973	0.488929	-3495.873
1516	0.018555	0.019617	0.003046	0.004087	0.565532	-3499.662
1520	0.018316	0.020219	0.001346	0.004087	0.422336	-3514.785
1524	0.017241	0.022606	0.001605	0.004087	0.422336	-3510.943
1528	0.012855	0.012458	0.001305	0.002905	0.280156	-3495.460
1532	0.013632	0.017191	0.000472	0.003293	0.506199	-3501.118
1536	0.014282	0.015208	0.000990	0.003089	0.755313	-3508.233
1540	0.015415	0.016820	0.000671	0.003095	0.477553	-3518.483
1544	0.013786	0.011515	0.000753	0.002937	0.486834	-3510.004
1548	0.018554	0.016890	0.000931	0.003648	0.486834	-3497.573
1552	0.018855	0.015939	0.000973	0.003751	0.568037	-3504.962
1556	0.015858	0.017471	0.000945	0.003282	0.465453	-3501.920
1560	0.017226	0.016059	0.001010	0.003282	0.465453	-3504.489
1564	0.014116	0.019569	0.000713	0.003016	0.504988	-3485.493
1568	0.012722	0.016926	0.000793	0.002445	0.473719	-3499.046
1572	0.012909	0.013270	0.001030	0.002429	0.473719	-3497.793
1576	0.015735	0.016950	0.001371	0.002807	0.608797	-3479.995
1580	0.010984	0.012178	0.002032	0.002234	0.608797	-3511.202
1584	0.010420	0.012650	0.001172	0.002157	0.587656	-3483.525
1588	0.010642	0.013551	0.001027	0.002157	0.358781	-3481.357
1592	0.012020	0.014014	0.002168	0.002121	0.323040	-3506.852
1596	0.013744	0.015135	0.002146	0.002461	0.569743	-3499.432
1600	0.015430	0.015161	0.002742	0.002552	0.381876	-3480.317
1604	0.015234	0.017702	0.002709	0.002552	0.381876	-3477.099
1608	0.016270	0.023051	0.002430	0.002677	0.511631	-3473.482
1612	0.016391	0.019749	0.001586	0.002782	0.750185	-3501.455
1616	0.017832	0.020826	0.002416	0.003076	0.563276	-3479.885
1620	0.017172	0.018094	0.001958	0.003245	0.664590	-3512.047
1624	0.012457	0.015693	0.001233	0.002475	0.290002	-3500.130
1628	0.013115	0.011838	0.001169	0.002358	0.288673	-3497.213
1632	0.014225	0.015363	0.000989	0.002358	0.548372	-3490.015
1636	0.010721	0.010592	0.000872	0.001933	0.241152	-3511.780
1640	0.015285	0.014392	0.001377	0.002568	0.280135	-3495.017
1644	0.019102	0.022619	0.001468	0.003436	0.486765	-3491.296
1648	0.016882	0.025918	0.001830	0.003410	0.486765	-3502.857
1652	0.016622	0.024707	0.002062	0.003410	0.486765	-3502.410
1656	0.018801	0.024633	0.001940	0.003410	0.486765	-3487.890
1660	0.018154	0.023305	0.002564	0.003410	0.409682	-3485.004
1664	0.019357	0.020509	0.001701	0.003410	0.454727	-3504.910
