Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	lnL
580	0.020101	0.029708	0.007687	0.001900	-3562.253
584	0.022977	0.031959	0.009116	0.001983	-3542.564
588	0.024679	0.034327	0.007781	0.002266	-3545.455
592	0.021043	0.029269	0.006635	0.001932	-3544.953
596	0.024133	0.034151	0.009032	0.002313	-3557.619
600	0.021758	0.033257	0.009032	0.002313	-3571.443
604	0.018538	0.029394	0.006400	0.002064	-3562.920
608	0.016632	0.028500	0.005742	0.001852	-3544.461
612	0.015651	0.029145	0.006248	0.001702	-3542.985
616	0.018805	0.032516	0.006737	0.001965	-3557.802
620	0.023477	0.038573	0.007943	0.002345	-3558.482
624	0.018072	0.030058	0.005919	0.002041	-3564.323
628	0.019566	0.030058	0.006399	0.002041	-3562.918
632	0.020825	0.032620	0.007395	0.002080	-3552.955
636	0.021053	0.034062	0.006245	0.002102	-3571.565
640	0.021882	0.037020	0.006787	0.002285	-3594.196
644	0.018612	0.031488	0.006754	0.002001	-3575.525
648	0.017533	0.029663	0.006362	0.001885	-3556.116
652	0.019696	0.034124	0.007365	0.002252	-3557.416
656	0.022902	0.037858	0.008747	0.002518	-3539.722
660	0.026912	0.043184	0.010097	0.003012	-3557.309
664	0.024060	0.038607	0.009027	0.002693	-3549.325
668	0.023387	0.039773	0.008773	0.002693	-3548.817
672	0.022197	0.039773	0.009386	0.002517	-3518.262
676	0.022197	0.040415	0.009386	0.002517	-3530.539
680	0.022197	0.041889	0.010459	0.002517	-3531.171
684	0.016095	0.030375	0.007430	0.001863	-3519.006
688	0.015098	0.028492	0.006969	0.001748	-3548.975
692	0.012096	0.024026	0.005160	0.001515	-3545.161
696	0.013654	0.029052	0.005825	0.001710	-3559.862
700	0.016478	0.033527	0.007029	0.002064	-3536.323
704	0.019677	0.040037	0.007171	0.002522	-3553.371
708	0.023069	0.044552	0.008334	0.002687	-3551.611
712	0.024029	0.043864	0.007989	0.002803	-3532.782
716	0.024579	0.046003	0.007607	0.003080	-3538.588
720	0.024579	0.044619	0.007782	0.003011	-3545.436
724	0.019019	0.034014	0.005931	0.002365	-3562.524
728	0.022485	0.040212	0.006025	0.002897	-3580.390
732	0.018587	0.033240	0.005690	0.002336	-3557.172
736	0.019228	0.034106	0.005787	0.002418	-3556.328
740	0.018730	0.033222	0.005281	0.002514	-3565.882
744	0.018730	0.034412	0.005281	0.002514	-3521.029
748	0.019145	0.035175	0.005833	0.002379	-3551.868
752	0.024823	0.044325	0.009988	0.003253	-3545.739
756	0.020162	0.035574	0.007465	0.002758	-3545.284
760	0.018081	0.031902	0.006538	0.002271	-3538.465
764	0.020400	0.036294	0.009168	0.002709	-3525.419
768	0.020400	0.037253	0.010475	0.002724	-3526.529
772	0.021813	0.037253	0.009214	0.002724	-3534.686
776	0.022398	0.034253	0.008503	0.002721	-3514.618
780	0.019813	0.030300	0.007127	0.002541	-3529.632
784	0.015775	0.025600	0.006285	0.002057	-3541.147
788	0.017796	0.032361	0.005840	0.002269	-3537.089
792	0.021136	0.038435	0.006936	0.002695	-3541.120
796	0.018840	0.034259	0.005915	0.002623	-3524.611
800	0.019394	0.036890	0.006187	0.002743	-3552.949
804	0.015339	0.028565	0.004185	0.002170	-3563.007
808	0.017793	0.033136	0.005878	0.002517	-3551.473
812	0.018805	0.033136	0.005865	0.002522	-3517.867
816	0.021983	0.041399	0.007246	0.003117	-3536.865
820	0.021983	0.041399	0.007471	0.002906	-3536.923
824	0.022900	0.041624	0.007471	0.003153	-3546.265
828	0.017701	0.034507	0.006124	0.002517	-3539.813
832	0.017650	0.034407	0.005694	0.002519	-3545.638
836	0.021113	0.041159	0.008091	0.003052	-3531.006
840	0.021113	0.042673	0.008397	0.002941	-3540.617
844	0.021113	0.042673	0.008504	0.003084	-3554.049
848	0.021113	0.042673	0.007484	0.003138	-3542.360
852	0.019141	0.037820	0.006362	0.003033	-3550.105
856	0.018183	0.036443	0.007407	0.002606	-3549.131
860	0.017300	0.038048	0.006562	0.002509	-3531.014
864	0.013242	0.031289	0.005386	0.002067	-3554.621
868	0.016169	0.038055	0.007519	0.002531	-3532.628
872	0.016169	0.037576	0.008134	0.002339	-3536.727
876	0.019044	0.040851	0.008685	0.002649	-3516.124
880	0.019040	0.040844	0.007490	0.003070	-3533.098
884	0.023335	0.049399	0.009854	0.003506	-3524.425
888	0.019307	0.038545	0.008057	0.002867	-3515.936
892	0.019072	0.039394	0.009884	0.002890	-3511.553
896	0.019072	0.039765	0.009485	0.002890	-3548.885
900	0.019285	0.040209	0.010250	0.002734	-3524.541
904	0.021020	0.037708	0.009917	0.002616	-3530.102
908	0.020547	0.036858	0.008883	0.002791	-3531.368
912	0.020343	0.036493	0.008795	0.002763	-3546.001
916	0.018472	0.032136	0.007787	0.002573	-3571.248
920	0.018472	0.032136	0.007401	0.002707	-3538.555
924	0.017349	0.030863	0.007135	0.002590	-3546.092
928	0.017349	0.029227	0.005974	0.002732	-3570.535
932	0.020711	0.037356	0.007216	0.003223	-3539.255
936	0.020510	0.035884	0.008489	0.003236	-3544.181
940	0.020510	0.035884	0.009096	0.003020	-3531.936
944	0.022751	0.038002	0.008980	0.003325	-3546.226
948	0.020944	0.032770	0.008638	0.002929	-3558.546
952	0.019609	0.034083	0.007924	0.002779	-3541.248
956	0.017859	0.030014	0.006474	0.002774	-3550.340
960	0.020992	0.034044	0.008692	0.003121	-3541.552
964	0.018637	0.029666	0.008273	0.002585	-3572.452
968	0.017991	0.028940	0.007566	0.002826	-3572.046
972	0.019303	0.030559	0.007451	0.002909	-3556.468
976	0.023160	0.036664	0.008549	0.003097	-3545.856
980	0.019513	0.030891	0.006709	0.002801	-3549.444
984	0.019513	0.030891	0.008095	0.002690	-3554.239
988	0.016149	0.024907	0.006760	0.002206	-3544.767
992	0.020750	0.031552	0.009360	0.002630	-3543.431
996	0.024956	0.036994	0.011533	0.003042	-3535.003
1000	0.025982	0.043565	0.013198	0.003482	-3554.929
1004	0.025982	0.042638	0.011366	0.003458	-3570.861
1008	0.025982	0.043432	0.012275	0.003202	-3544.644
1012	0.027419	0.048308	0.012199	0.003187	-3535.219
1016	0.027419	0.046891	0.011592	0.003354	-3552.984
1020	0.027419	0.045780	0.012721	0.003354	-3551.825
1024	0.021262	0.033554	0.010444	0.002645	-3545.098
1028	0.023349	0.034229	0.011518	0.002496	-3553.637
1032	0.022813	0.033443	0.010209	0.002688	-3543.904
1036	0.022813	0.034110	0.013318	0.002721	-3541.040
1040	0.019416	0.027596	0.012117	0.002166	-3557.861
1044	0.021178	0.030101	0.013217	0.002363	-3564.703
1048	0.018627	0.025790	0.011743	0.002057	-3546.025
1052	0.017709	0.025790	0.011743	0.002057	-3543.706
1056	0.016098	0.021858	0.009075	0.001829	-3525.427
1060	0.012894	0.018637	0.005442	0.001559	-3530.057
1064	0.013871	0.021355	0.006403	0.001534	-3525.931
1068	0.013645	0.019256	0.005087	0.001469	-3528.950
1072	0.013645	0.019256	0.005376	0.001390	-3522.142
1076	0.013012	0.018362	0.006311	0.001325	-3526.121
1080	0.013012	0.019789	0.007254	0.001325	-3528.839
1084	0.013012	0.022362	0.007254	0.001325	-3516.176
1088	0.013012	0.022362	0.006705	0.001325	-3524.458
1092	0.014761	0.025368	0.008931	0.001503	-3527.108
1096	0.015743	0.028788	0.009096	0.001679	-3532.959
1100	0.018784	0.036654	0.011581	0.002138	-3517.358
1104	0.016051	0.030437	0.007581	0.001896	-3507.962
1108	0.015161	0.029530	0.007151	0.001791	-3521.706
1112	0.019044	0.036898	0.008117	0.002249	-3536.321
1116	0.017170	0.030464	0.007407	0.002084	-3554.601
1120	0.017957	0.031647	0.007407	0.002084	-3542.153
1124	0.017258	0.031143	0.007364	0.002179	-3549.021
1128	0.018270	0.032186	0.006537	0.002274	-3534.717
1132	0.022870	0.038874	0.009138	0.002678	-3539.612
1136	0.020138	0.033577	0.008836	0.002459	-3534.141
1140	0.015881	0.027626	0.007689	0.001913	-3534.683
1144	0.014892	0.025906	0.007210	0.001794	-3526.771
1148	0.013013	0.020948	0.005472	0.001545	-3557.941
1152	0.014426	0.023223	0.006067	0.001713	-3522.428
1156	0.016062	0.027501	0.007082	0.002037	-3515.972
1160	0.015207	0.027501	0.007377	0.001956	-3530.288
1164	0.018514	0.032485	0.007761	0.002310	-3511.652
1168	0.015629	0.027117	0.006407	0.001994	-3530.893
1172	0.018622	0.033141	0.008227	0.002205	-3547.755
1176	0.017847	0.033314	0.008168	0.002220	-3548.108
1180	0.017081	0.031885	0.007185	0.002125	-3540.920
1184	0.016175	0.028294	0.006112	0.002110	-3520.472
1188	0.015168	0.028294	0.006652	0.001938	-3537.606
1192	0.015168	0.028275	0.004510	0.001938	-3533.993
1196	0.022675	0.043455	0.006903	0.002830	-3551.858
1200	0.025566	0.053192	0.008634	0.003173	-3549.833
1204	0.024533	0.050109	0.009080	0.002778	-3533.893
1208	0.020924	0.042738	0.006613	0.002775	-3537.004
1212	0.023129	0.046533	0.007310	0.003067	-3511.898
1216	0.023743	0.047767	0.007344	0.003218	-3523.975
1220	0.017575	0.034497	0.004135	0.002189	-3504.026
1224	0.017575	0.034497	0.004069	0.002225	-3519.666
1228	0.017228	0.032605	0.003988	0.002181	-3512.034
1232	0.014499	0.025509	0.004748	0.001733	-3537.584
1236	0.013998	0.025737	0.004584	0.001673	-3508.737
1240	0.013414	0.025737	0.004584	0.001673	-3528.584
1244	0.013337	0.025590	0.004558	0.001664	-3523.676
1248	0.016651	0.031948	0.006237	0.001895	-3523.667
1252	0.016651	0.032941	0.005899	0.002087	-3506.442
1256	0.019455	0.038001	0.007614	0.002211	-3530.864
1260	0.022006	0.042420	0.008612	0.002500	-3519.382
1264	0.022006	0.041565	0.008612	0.002500	-3528.257
1268	0.022006	0.040353	0.009149	0.002354	-3526.630
1272	0.017986	0.034442	0.007474	0.002223	-3512.186
1276	0.018216	0.033924	0.007474	0.002223	-3504.499
1280	0.022302	0.041532	0.009990	0.002493	-3517.954
1284	0.018044	0.034270	0.008083	0.002017	-3512.091
1288	0.018985	0.032032	0.006964	0.002017	-3516.268
1292	0.015771	0.028281	0.005425	0.001786	-3515.397
1296	0.013759	0.024379	0.003870	0.001432	-3514.773
1300	0.015961	0.027182	0.004489	0.001661	-3533.048
1304	0.017801	0.030316	0.004698	0.001974	-3536.409
1308	0.019185	0.032673	0.005926	0.002029	-3525.767
1312	0.019185	0.032673	0.005745	0.002093	-3527.663
1316	0.022502	0.038321	0.007427	0.002227	-3535.629
1320	0.024004	0.040879	0.007541	0.002289	-3540.275
1324	0.019517	0.031229	0.005903	0.001792	-3512.348
1328	0.019517	0.029875	0.007732	0.001859	-3534.911
1332	0.019517	0.031186	0.007700	0.001867	-3527.804
1336	0.023864	0.036761	0.007311	0.002348	-3531.246
1340	0.016922	0.026962	0.006506	0.001607	-3508.218
1344	0.016922	0.026115	0.006592	0.001587	-3519.619
1348	0.021533	0.030426	0.008503	0.001805	-3508.523
1352	0.017079	0.024132	0.006219	0.001553	-3509.407
1356	0.016979	0.022494	0.006054	0.001544	-3494.066
1360	0.016979	0.022494	0.006054	0.001544	-3521.548
1364	0.017937	0.024668	0.004957	0.001674	-3522.031
1368	0.017937	0.026112	0.004561	0.001819	-3527.612
1372	0.019022	0.025138	0.004561	0.001819	-3510.957
1376	0.019022	0.025568	0.004561	0.001819	-3519.366
1380	0.020889	0.029296	0.005391	0.001998	-3517.358
1384	0.018660	0.026170	0.004713	0.001824	-3523.863
1388	0.018851	0.027885	0.004952	0.001772	-3524.087
1392	0.018851	0.029384	0.004887	0.001795	-3528.854
1396	0.017895	0.029910	0.004887	0.001795	-3525.501
1400	0.019856	0.032922	0.005423	0.001992	-3518.667
1404	0.019856	0.032922	0.005336	0.002024	-3521.879
1408	0.016706	0.027793	0.004339	0.001774	-3539.348
1412	0.020105	0.033447	0.005221	0.002135	-3546.861
1416	0.023238	0.036907	0.006327	0.002354	-3534.526
1420	0.024339	0.038656	0.008381	0.002607	-3543.214
1424	0.024788	0.039416	0.008381	0.002607	-3538.537
1428	0.022755	0.037417	0.008274	0.002226	-3510.058
1432	0.018592	0.030571	0.005186	0.001901	-3529.906
1436	0.023468	0.038588	0.006168	0.002546	-3551.618
1440	0.023468	0.036118	0.006841	0.002296	-3543.562
1444	0.022010	0.032214	0.005323	0.002010	-3539.239
1448	0.020245	0.032780	0.005198	0.001963	-3520.915
1452	0.019553	0.032780	0.005212	0.001958	-3535.295
1456	0.019556	0.032767	0.005381	0.002021	-3542.127
1460	0.015922	0.027380	0.004333	0.001664	-3524.467
1464	0.015922	0.024726	0.004333	0.001664	-3526.352
1468	0.015646	0.024298	0.004258	0.001635	-3515.643
1472	0.012339	0.019162	0.003358	0.001289	-3549.249
1476	0.009415	0.016076	0.002391	0.001054	-3534.868
1480	0.010278	0.017548	0.003800	0.001181	-3544.824
1484	0.012911	0.021417	0.004505	0.001484	-3541.030
1488	0.012227	0.020283	0.004476	0.001339	-3528.052
1492	0.015509	0.025727	0.005295	0.001699	-3527.294
1496	0.014433	0.025727	0.005166	0.001742	-3546.314
1500	0.017605	0.031383	0.007533	0.002124	-3530.456
1504	0.015946	0.028426	0.006824	0.001924	-3548.140
1508	0.015648	0.028426	0.005873	0.001924	-3540.266
1512	0.014586	0.026497	0.005344	0.001837	-3521.924
1516	0.012707	0.020984	0.004219	0.001638	-3537.014
1520	0.015301	0.025267	0.005349	0.001873	-3531.906
1524	0.014673	0.024654	0.005446	0.001899	-3535.664
1528	0.016077	0.027124	0.005967	0.002081	-3518.966
1532	0.017153	0.030311	0.007511	0.002220	-3516.657
1536	0.017153	0.030311	0.006853	0.002280	-3516.029
1540	0.017153	0.029422	0.006695	0.002333	-3516.942
1544	0.015709	0.028454	0.006132	0.002137	-3532.380
1548	0.013363	0.026084	0.005895	0.001974	-3517.629
1552	0.015856	0.030950	0.006005	0.002310	-3528.633
1556	0.017186	0.033545	0.007448	0.002503	-3529.666
1560	0.016122	0.033213	0.007456	0.002451	-3539.425
1564	0.016122	0.033213	0.007159	0.002609	-3540.806
1568	0.010381	0.021895	0.004518	0.001714	-3525.116
1572	0.010381	0.023410	0.004688	0.001652	-3532.507
1576	0.010381	0.023206	0.005701	0.001652	-3530.901
1580	0.011465	0.026967	0.004503	0.001824	-3532.565
1584	0.012195	0.027545	0.004656	0.002064	-3512.554
1588	0.014537	0.032835	0.005261	0.002596	-3522.293
1592	0.016333	0.033220	0.005206	0.002747	-3519.230
1596	0.015415	0.031355	0.005020	0.002538	-3535.259
1600	0.015415	0.032672	0.005380	0.002368	-3537.330
1604	0.014001	0.030884	0.005244	0.002004	-3524.027
1608	0.012776	0.031421	0.005244	0.002004	-3532.750
1612	0.010008	0.024614	0.003976	0.001622	-3528.213
1616	0.010352	0.025460	0.005069	0.001678	-3510.061
1620	0.012115	0.029795	0.007118	0.001964	-3531.151
1624	0.013442	0.034673	0.008027	0.002144	-3532.407
1628	0.014209	0.036651	0.008845	0.002266	-3535.320
1632	0.016954	0.046032	0.009063	0.002704	-3529.784
1636	0.014114	0.040337	0.006546	0.002266	-3528.353
1640	0.012846	0.035134	0.006246	0.001967	-3516.999
1644	0.013456	0.032268	0.004530	0.001934	-3531.165
1648	0.011285	0.027060	0.003619	0.001702	-3532.380
1652	0.011058	0.026055	0.004213	0.001668	-3511.945
1656	0.014078	0.033170	0.005363	0.002124	-3519.207
1660	0.010846	0.024571	0.004132	0.001636	-3520.836
1664	0.011270	0.024278	0.005341	0.001700	-3547.024
1668	0.011270	0.024278	0.004440	0.001711	-3519.845
1672	0.010424	0.022455	0.004107	0.001582	-3528.679
1676	0.013307	0.026811	0.005263	0.001779	-3520.108
1680	0.013094	0.026608	0.005223	0.001766	-3531.269
1684	0.013708	0.028051	0.005369	0.001883	-3521.388
1688	0.013708	0.028051	0.005502	0.001837	-3521.804
1692	0.013723	0.028083	0.005366	0.001888	-3525.467
1696	0.018637	0.038138	0.007171	0.002605	-3527.974
1700	0.016428	0.029817	0.005595	0.002041	-3543.063
1704	0.018277	0.031051	0.006406	0.002206	-3538.353
1708	0.016061	0.031280	0.006226	0.002144	-3517.143
1712	0.018461	0.038977	0.007413	0.002553	-3528.535
1716	0.017574	0.036262	0.007709	0.002225	-3520.000
1720	0.018110	0.036262	0.007798	0.002477	-3525.409
1724	0.017615	0.036262	0.006294	0.002477	-3528.223
1728	0.014343	0.029528	0.004867	0.002124	-3512.267
1732	0.016200	0.031788	0.006547	0.002210	-3528.566
1736	0.014237	0.029965	0.005734	0.002102	-3521.356
1740	0.012188	0.025502	0.005755	0.001800	-3529.070
1744	0.012919	0.025502	0.006506	0.001736	-3518.393
1748	0.012919	0.025502	0.006506	0.001736	-3527.714
1752	0.012075	0.024543	0.005666	0.001623	-3524.709
1756	0.011505	0.023384	0.005398	0.001546	-3522.313
1760	0.012125	0.024645	0.005689	0.001629	-3519.603
1764	0.013903	0.026865	0.006523	0.001868	-3519.604
1768	0.011663	0.021372	0.004450	0.001580	-3540.018
1772	0.017472	0.029624	0.006444	0.002096	-3517.423
1776	0.016221	0.027504	0.004878	0.002068	-3541.258
1780	0.016221	0.027504	0.005324	0.001895	-3544.839
1784	0.012628	0.024059	0.004027	0.001745	-3560.020
1788	0.012628	0.024980	0.004270	0.001646	-3566.713
1792	0.013799	0.028674	0.004666	0.001798	-3542.177
1796	0.012512	0.026000	0.004230	0.001631	-3536.739
1800	0.012512	0.027290	0.004230	0.001631	-3544.085
1804	0.012512	0.027290	0.004223	0.001634	-3534.604
1808	0.012512	0.026130	0.004223	0.001634	-3543.381
1812	0.012512	0.025140	0.004562	0.001634	-3546.193
1816	0.013297	0.028382	0.004707	0.001788	-3547.882
1820	0.015411	0.032464	0.004614	0.002072	-3535.422
1824	0.012577	0.028683	0.004047	0.001848	-3527.741
1828	0.011443	0.025265	0.003683	0.001681	-3527.674
1832	0.011443	0.025265	0.003813	0.001624	-3517.608
1836	0.011443	0.025265	0.003813	0.001624	-3540.744
1840	0.011443	0.025265	0.003813	0.001624	-3545.979
1844	0.011443	0.025025	0.003887	0.001593	-3549.923
1848	0.009806	0.021446	0.003331	0.001365	-3531.545
1852	0.012112	0.026833	0.004537	0.001529	-3538.330
1856	0.012112	0.026833	0.005045	0.001691	-3523.866
1860	0.012112	0.026833	0.005045	0.001691	-3525.198
1864	0.015178	0.034996	0.006322	0.002119	-3534.745
1868	0.017729	0.035855	0.007882	0.002036	-3541.065
1872	0.015894	0.028763	0.006034	0.001875	-3531.674
1876	0.015933	0.029850	0.006034	0.001875	-3533.094
1880	0.015201	0.029850	0.006262	0.001955	-3520.938
1884	0.015201	0.030993	0.006653	0.001840	-3546.006
1888	0.015201	0.030993	0.005312	0.001894	-3555.002
1892	0.017229	0.037581	0.006590	0.002235	-3542.356
1896	0.017229	0.036543	0.006590	0.002235	-3537.471
1900	0.017229	0.036543	0.006590	0.002235	-3519.219
1904	0.016732	0.035490	0.007555	0.002171	-3531.285
1908	0.017124	0.035144	0.008294	0.002222	-3541.194
1912	0.017124	0.036276	0.007781	0.002081	-3538.324
1916	0.016061	0.034025	0.006335	0.002010	-3524.398
1920	0.020613	0.041682	0.010629	0.002296	-3526.028
1924	0.020613	0.041682	0.010739	0.002272	-3523.522
1928	0.018072	0.036543	0.009647	0.001992	-3525.510
1932	0.020203	0.042214	0.010759	0.002232	-3539.010
1936	0.018402	0.039337	0.009302	0.002124	-3533.044
1940	0.018402	0.039337	0.009308	0.002122	-3533.122
1944	0.017014	0.033840	0.007803	0.001675	-3545.667
1948	0.014780	0.028682	0.006075	0.001624	-3548.614
1952	0.014883	0.030917	0.006549	0.001751	-3539.304
